,Relation,A,B,C,D,Prediction,Correct
12,hypernyms - animals,lion,felid,mouse,"['rodent', 'vertebrate', 'creature', 'beast', 'animal', 'organism', 'fauna', 'placental', 'chordate', 'eutherian', 'mammal', 'mammalian', 'eutherian mammal', 'gnawer', 'animate being', 'living thing', 'placental mammal', 'craniate']",Rodent,1
13,hypernyms - animals,orangutan,primate,buffalo,"['bovid', 'mammal', 'bison', 'cow', 'vertebrate', 'creature', 'ungulate', 'beast', 'being', 'animal', 'organism', 'fauna', 'placental', 'artiodactyl', 'ruminant', 'chordate', 'eutherian', 'mammalian', 'bovine', 'animate being', 'eutherian mammal', 'placental mammal', 'craniate', 'physical hoofed mammal', 'physical entity', 'even toed ungulate', 'artiodactyl mammal', 'living thing']",Mammal,1
14,hypernyms - animals,coyote,mammal,cobra,"['snake', 'reptile', 'elapid', 'elapid snake', 'serpent', 'ophidian']",Reptile,1
15,hypernyms - animals,cat,organism,duck,"['fowl', 'bird', 'vertebrate', 'poultry', 'creature', 'beast', 'being', 'animal', 'organism', 'fauna', 'poultry', 'chordate', 'domestic fowl', 'waterfowl', 'water fowl', 'animate being', 'anseriform bird', 'craniate', 'living thing']",animal,1
16,hypernyms - animals,dog,living thing,butterfly,"['insect', 'creature', 'beast', 'lepidopteran', 'animal', 'organism', 'fauna', 'arthropod', 'lepidopterous insect', 'lepidopteron', 'animate being', 'living thing']",Insect,1
17,hypernyms - animals,buffalo,bison,orangutan,"['primate', 'vertebrate', 'creature', 'beast', 'being', 'animal', 'organism', 'fauna', 'placental', 'hominid', 'chordate', 'eutherian', 'mammal', 'ape', 'mammalian', 'animate being', 'eutherian mammal', 'placental mammal', 'craniate', 'physical physical entity', 'living thing']",Gorilla,0
18,hypernyms - animals,jaguar,feline,owl,"['raptor', 'bird', 'vertebrate', 'creature', 'beast', 'being', 'animal', 'organism', 'fauna', 'chordate', 'animate being', 'craniate', 'living thing', 'raptorial bird', 'bird of prey']",bird,1
19,hypernyms - animals,chicken,craniate,vulture,"['raptor', 'bird', 'vertebrate', 'creature', 'beast', 'being', 'animal', 'organism', 'fauna', 'chordate', 'animate being', 'craniate', 'living thing', 'raptorial bird', 'bird of prey']",Aves,0
20,hypernyms - misc,blender,physical object,toothbrush,"['brush', 'toiletry', 'toilet articles', 'implement', 'artifact', 'artefact', 'unit', 'object', 'physical object', 'physical entity', 'entity', 'mustache', 'moustache', 'facial hair', 'hair', 'body covering', 'covering', 'natural covering', 'cover', 'natural object', 'unit', 'object', 'physical object', 'physical entity', 'entity']",teeth,0
21,hypernyms - misc,sofa,piece of furniture,stapler,"['device', 'machine', 'artifact', 'artefact', 'unit', 'object', 'physical object', 'physical entity', 'entity']",office supply,0
22,hypernyms - misc,postcard,mail,sidewalk,"['walk', 'walkway', 'paseo', 'path', 'way', 'artifact', 'artefact', 'unit', 'object', 'physical object', 'physical entity', 'entity']",walk,1
23,hypernyms - misc,dishwasher,household appliance,desk,"['furniture', 'table', 'piece of furniture', 'article of furniture', 'furnishing', 'artifact', 'artefact', 'unit', 'object', 'physical object', 'physical entity', 'entity']",furniture,1
24,hypernyms - misc,diary,journal,jacket,"['clothes', 'coat', 'overgarment', 'outer garment', 'garment', 'clothing', 'article of clothing', 'vesture', 'wear', 'wearable', 'habiliment', 'consumer goods', 'covering', 'commodity', 'trade good', 'good', 'artifact', 'artefact', 'unit', 'object', 'physical object', 'physical entity', 'entity']",coat,1
25,hypernyms - misc,plum,fruit,hamburger,"['sandwich', 'snack food', 'dish', 'nutriment', 'nourishment', 'nutrition', 'sustenance', 'aliment', 'alimentation', 'victuals', 'food', 'nutrient', 'substance', 'matter', 'physical entity', 'entity', 'beef', 'boeuf', 'meat', 'food', 'solid food', 'solid', 'matter', 'physical entity', 'entity']",Meat,1
26,hypernyms - misc,perfume,artifact,notebook,"['book', 'volume', 'product', 'production', 'creation', 'artifact', 'artefact', 'unit', 'object', 'physical object', 'physical entity', 'entity', 'portable computer', 'personal computer', 'pc', 'microcomputer', 'digital computer', 'computer', 'computing machine', 'computing device', 'data processor', 'electronic computer', 'information processing system', 'machine', 'device', 'artifact', 'artefact', 'unit', 'object', 'physical object', 'physical entity', 'entity']",Stationery,0
27,hypernyms - misc,postcard,abstract entity,stapler,"['device', 'machine', 'artifact', 'artefact', 'unit', 'object', 'physical object', 'physical entity', 'entity']",Office Supplies,0
28,hypernyms - misc,sofa,seat,blender,"['appliance', 'mixer', 'kitchen utensil', 'utensil', 'implement', 'artifact', 'artefact', 'unit', 'object', 'physical object', 'physical entity', 'entity']",mix,0
29,hypernyms - misc,armchair,article of furniture,peach,"['fruit', 'drupe', 'stone fruit', 'edible fruit', 'fruit', 'produce', 'green goods', 'green groceries', 'garden truck', 'food', 'matter', 'natural object', 'physical entity', 'unit', 'entity', 'object', 'physical object']",fruit,1
30,hypernyms - misc,sidewalk,walkway,grapefruit,"['citrus', 'citrus fruit', 'citrous fruit', 'fruit', 'edible fruit', 'fruit', 'produce', 'green goods', 'green groceries', 'garden truck', 'food', 'matter', 'natural object', 'physical entity', 'unit', 'entity', 'object', 'physical object']",citrus,1
31,hypernyms - misc,sofa,artefact,deodorant,"['toiletry', 'toilet articles', 'artifact', 'artefact', 'unit', 'object', 'physical object', 'physical entity', 'entity']",personal hygiene,0
32,hypernyms - misc,pie,tongue,stapler,"['device', 'machine', 'artifact', 'artefact', 'unit', 'object', 'physical object', 'physical entity', 'entity']",Paper,0
33,hypernyms - misc,lotion,unit,stapler,"['device', 'machine', 'artifact', 'artefact', 'unit', 'object', 'physical object', 'physical entity', 'entity']",staple,0
34,hypernyms - misc,juicer,unit,sunscreen,"['cream', 'lotion', 'ointment', 'emollient', 'toiletry', 'toilet articles', 'artifact', 'artefact', 'unit', 'object', 'physical object', 'physical entity', 'entity']",protection from the sun,0
35,hypernyms - misc,hairnet,net,croissant,"['pastry', 'bun', 'roll', 'bread', 'breadstuff', 'staff of life', 'baked goods', 'starches', 'food', 'solid food', 'foodstuff', 'food product', 'solid', 'food', 'nutrient', 'matter', 'substance', 'physical entity', 'entity']",pastry,1
36,hypernyms - misc,hairpin,restraint,sidewalk,"['walk', 'walkway', 'paseo', 'path', 'way', 'artifact', 'artefact', 'unit', 'object', 'physical object', 'physical entity', 'entity']",pavement,0
37,hypernyms - misc,toaster,durable goods,postcard,"['card', 'correspondence', 'first class', '1st class', 'first class mail', '1st class mail', 'written communication', 'written language', 'black and white', 'mail', 'communication', 'message', 'abstraction', 'abstract entity', 'entity']",paper goods,0
38,hypernyms - misc,shirt,object,cake,"['dessert', 'baked goods', 'food', 'solid food', 'course', 'nutriment', 'nourishment', 'nutrition', 'sustenance', 'aliment', 'alimentation', 'victuals', 'food', 'nutrient', 'substance', 'matter', 'physical entity', 'entity']",eat,0
39,hypernyms - misc,fridge,good,toothbrush,"['brush', 'toiletry', 'toilet articles', 'implement', 'artifact', 'artefact', 'unit', 'object', 'physical object', 'physical entity', 'entity', 'mustache', 'moustache', 'facial hair', 'hair', 'body covering', 'covering', 'natural covering', 'cover', 'natural object', 'unit', 'object', 'physical object', 'physical entity', 'entity']",toothpaste,0
40,hyponyms - misc,season,peak,seat,"['chair', 'bench', 'box', 'ottoman', 'pouf', 'pouffe', 'puff', 'hassock', 'sofa', 'couch', 'lounge', 'stool', 'toilet']",topple,0
41,hyponyms - misc,cutlery,teaspoon,weapon,"['gun', 'bow', 'bow', 'arrow', 'dart', 'knucks', 'knuckles', 'flamethrower', 'knife', 'missile', 'pike', 'projectile', 'slasher', 'sling', 'spear', 'lance', 'shaft', 'stun', 'baton', 'sword', 'blade', 'brand', 'steel', 'tomahawk', 'hatchet', 'fire']",knife,1
42,hyponyms - misc,oven,rotisserie,container,"['bag', 'handbag', 'pocketbook', 'purse', 'basket', 'handbasket', 'bin', 'bowl', 'pipe', 'bowl', 'box', 'bread bin', 'breadbox', 'bunker', 'can', 'tin', 'canister', 'cannister', 'capsule', 'cargo', 'case', 'display', 'showcase', 'vitrine', 'cassette', 'cup', 'cylinder', 'dice', 'cup', 'box', 'dish', 'dispenser', 'drawer', 'dumpster', 'empty', 'envelope', 'glass', 'bag', 'bottle', 'mailer', 'manger', 'trough', 'measure', 'mold', 'mould', 'cast', 'package', 'parcel', 'pan', 'pod', 'pot', 'flowerpot', 'flask', 'receptacle', 'reliquary', 'saltcellar', 'savings', 'bank', 'coin', 'money', 'bank', 'scuttle', 'coal', 'scuttle', 'shaker', 'spoon', 'thimble', 'capsule', 'vessel', 'basket', 'bin', 'waste paper', 'wastebasket', 'waste', 'file', 'can', 'pot', 'workbasket', 'workbox', 'workbag']",storage,0
43,hyponyms - misc,backpack,daypack,flask,"['thermos', 'ampulla', 'canteen', 'erlenmeyer flask', 'hipflask', 'pocket flask', 'round bottom flask', 'vacuum flask', 'vacuum bottle', 'dewar flask', 'dewar', 'thermos bottle', 'thermos flask']",Canteen,1
44,hyponyms - misc,cookware,cooker,burger,"['hamburger', 'cheeseburger', '50', '50 burger', 'angus burger', 'banquet burger', 'barbecue burger', 'bøfsandwich', 'utter burge', 'buffalo burger', 'california burger', 'chili burger', 'curry burger', 'hamdog', 'salmon burger', 'rice burger', 'veggie burger']",bun,0
45,hyponyms - misc,color,azure,cup,"['teacup', 'beaker', 'chalice', 'goblet', 'coffee cup', 'dixie', 'paper cup', 'grace', 'kylix', 'cylix', 'mustache cup', 'moustache cup', 'scyphus', 'grail']",Mug,0
46,hyponyms - misc,citrus,orange,mixer,"['blender', 'liquidizer', 'liquidiser', 'eggbeater', 'eggwhisk', 'electric', 'whisk']",cocktail,0
47,hyponyms - misc,jewel,pearl,shirt,"['polo', 'camise', 'dashiki', 'daishiki', 'dress', 'evening', 'hair', 'jersey', 't shirt', 'tee', 'kurta', 'sport', 'tank', 'work shirt']",clothing,0
48,hyponyms - misc,camera,box kodak,brush,"['toothbrush', 'bottlebrush', 'bristle', 'clothesbrush', 'hairbrush', 'nailbrush', 'paintbrush', 'sable', 'scrub', 'scrubbing', 'scrubber', 'shaving brush']",paint,0
49,hyponyms - misc,railway,funicular,citrus,"['lemon', 'orange', 'lime', 'mandarin', 'tangerine', 'yuzu']",Orange,1
50,hyponyms - misc,computer,smartphone,cutlery,"['knife', 'fork', 'spoon', 'tablefork', 'teaspoon', 'dessert spoon', 'salad fork', 'carving fork']",fork,1
51,hyponyms - misc,citrus,tangerine,dessert,"['cake', 'ambrosia', 'baked alaska', 'blancmange', 'charlotte', 'compote', 'fruit compote', 'dumpling', 'flan', 'frozen dessert', 'junket', 'mold', 'mould', 'mousse', 'pavlova', 'peach melba', 'pudding', 'pud', 'pudding', 'syllabub', 'sillabub', 'tiramisu', 'whip', 'zabaglione', 'sabayon', 'charlotte russe', 'apple dumpling', 'frozen custard', 'soft ice cream', 'frozen pudding', 'frozen yogurt', 'ice cream cake', 'icebox cake', 'ice cream cone', 'ice cream sundae', 'sundae', 'ice', 'frappe', 'ice cream', 'icecream', 'ice lolly', 'lolly', 'lollipop', 'popsicle', 'ice milk', 'parfait', 'sherbert', 'sherbet', 'snowball', 'snowball', 'split', 'chocolate mousse', 'trifle', 'brown betty', 'chocolate pudding', 'duff', 'plum duff', 'flummery', 'nesselrode', 'nesselrode pudding', 'pease pudding', 'plum pudding', 'christmas pudding', 'roly poly', 'roly poly pudding', 'steamed pudding', 'suet pudding', 'tapioca pudding', 'vanilla pudding', 'prune whip', 'water ice', 'sorbet', 'chocolate ice cream', 'neapolitan ice cream', 'peach ice cream', 'strawberry ice cream', 'tutti frutti', 'vanilla ice cream', 'banana split', 'tipsy cake', 'spotted dick', 'choc ice']",pie,0
52,hyponyms - misc,bed,bunk,sofa,"['divan', 'diwan', 'convertible sofa', 'daybed', 'loveseat', 'settee', 'squab']",Couch,0
53,hyponyms - misc,season,summertime,month,"['january', 'february', 'march', 'april', 'may', 'june', 'july', 'august', 'september', 'october', 'november', 'december', 'jan', 'feb', 'mar', 'apr', 'jun', 'jul', 'aug', 'sep', 'oct', 'nov', 'dec']",year,0
54,hyponyms - misc,gun,pom pom,drum,"['tambourine', 'bass drum', 'gran casa', 'bongo', 'bongo drum', 'snare drum', 'snare', 'side drum', 'tabor', 'tabour', 'tambour', 'tenor drum', 'tom tom', 'timbrel', 'djembe', 'doumbek', 'darbuka']",drumstick,0
55,hyponyms - misc,song,berceuse,cloud,"['thundercloud', 'cirrocumulus', 'cirrocumulus', 'cirrostratus', 'cirrus', 'contrail', 'condensation', 'trail', 'cumulonimbus', 'cumulonimbus', 'cumulus', 'nacreous', 'nebule', 'nimbus', 'rain', 'storm', 'stratus', 'mushroom', 'smoke']",sky,0
56,hyponyms - misc,dress,kirtle,bag,"['pouch', 'backpack', 'knapsack', 'packsack', 'rucksack', 'haversack', 'beanbag', 'bladder', 'pouch', 'carryall', 'holdall', 'tote', 'tote', 'drawstring', 'dust', 'vacuum', 'envelope', 'gasbag', 'gamebag', 'golf', 'gunnysack', 'gunny', 'burlap', 'ice', 'mailbag', 'postbag', 'nosebag', 'feedbag', 'pannier', 'plastic', 'purse', 'ragbag', 'rosin', 'sachet', 'sack', 'poke', 'paper', 'carrier', 'saddlebag', 'sandbag', 'schoolbag', 'shopping', 'sick bag', 'sickbag', 'skin', 'sleeping', 'sweat', 'tea', 'toilet', 'sponge', 'tool', 'tucker bag']",Purse,1
57,hyponyms - misc,railway,rack,backpack,"['daypack', 'kitbag', 'kit bag']",straps,0
58,hyponyms - misc,trousers,jodhpur breeches,camera,"['camcorder', 'box camera', 'box kodak', 'candid camera', 'digital camera', 'flash camera', 'motion picture camera', 'movie camera', 'cine camera', 'point and shoot camera', 'point and shoot', 'polaroid camera', 'polaroid land camera', 'polaroid', 'portrait camera', 'reflex camera', 'webcam', 'webcamera', 'sound camera']",a tripod,0
59,hyponyms - misc,burger,chili burger,backpack,"['daypack', 'kitbag', 'kit bag']",A backpack is to a suitcase,0
60,meronyms - substance,plastic,gas,roof,"['shingles', 'tiles', 'wood', 'metal']",shingles,1
61,meronyms - substance,yogurt,milk,penny,"['metal', 'alloy', 'bronze', 'nickel', 'zinc', 'copper', 'tin']",change,0
62,meronyms - substance,roof,shingles,wall,"['cement', 'bricks', 'stones', 'rocks', 'wood', 'cardboard', 'board', 'plank', 'clay', 'mud']",paint,0
63,meronyms - substance,lens,plastic,glacier,"['ice', 'water', 'oxygen', 'hydrogen', 'h', 'h2o', 'atomic number 8', 'atomic number 1', 'o', 'water ice']",ice,1
64,meronyms - substance,concrete,water,omelette,"['eggs', 'egg', 'milk', 'cheese']",eggs,1
65,meronyms - substance,bowl,aluminium,glacier,"['ice', 'water', 'oxygen', 'hydrogen', 'h', 'h2o', 'atomic number 8', 'atomic number 1', 'o', 'water ice']",Ice,1
66,meronyms - substance,cocktail,juice,doorknob,"['metal', 'steel', 'bronze', 'wood']",turn,0
67,meronyms - substance,cloud,water,mirror,"['glass', 'bronze']",Reflection,0
68,meronyms - substance,ice,oxygen,mirror,"['glass', 'bronze']",Light,0
69,meronyms - substance,lens,plastic,wine,"['grapes', 'grape']",grape,1
70,meronyms - substance,pastry,filling,glass,['silicone'],liquid,0
71,meronyms - substance,house,clay,wall,"['cement', 'bricks', 'stones', 'rocks', 'wood', 'cardboard', 'board', 'plank', 'clay', 'mud']",Brick,0
72,meronyms - substance,sea,water,mirror,"['glass', 'bronze']",Reflection,0
73,meronyms - substance,beach,sand,beard,['hair'],Hair,1
74,meronyms - substance,boots,leather,bottle,"['glass', 'plastic']",glass,1
75,meronyms - substance,spoon,steel,ice,"['water', 'oxygen', 'hydrogen', 'water', 'h2o', 'atomic number 1', 'atomic number 8', 'h', 'o']",Water,1
76,meronyms - substance,flag,paper,boots,"['leather', 'canvas']",shoes,0
77,meronyms - substance,cocktail,water,ocean,['water'],land,0
78,meronyms - substance,penny,nickel,glass,['silicone'],a cup,0
79,meronyms - substance,beach,pebbles,snow,"['water', 'oxygen', 'hydrogen', 'flake', 'ice', 'snowflake', 'snowflakes', 'h2o', 'atomic number 1', 'atomic number 8', 'h', 'o']",snowflakes,1
80,meronyms - member,player,group,division,"['company', 'business', 'platoon', 'battle group']",brigade,0
81,meronyms - member,secretary,staff,galaxy,['universe'],Universe,1
82,meronyms - member,juror,jury,secretary,['staff'],office,0
83,meronyms - member,acrobat,troupe,car,"['train', 'procession']",driver,0
84,meronyms - member,state,province,student,"['class', 'school']",School,1
85,meronyms - member,spouse,family,letter,['alphabet'],communication,0
86,meronyms - member,galaxy,universe,parishioner,"['parish', 'church']",church,1
87,meronyms - member,wolf,pack,letter,['alphabet'],envelope,0
88,meronyms - member,player,group,acrobat,['troupe'],Tightrope Walker,0
89,meronyms - member,word,paragraph,flower,"['bouquet', 'bunch']",garden,0
90,meronyms - member,sheep,flock,song,"['album', 'collection', 'antology', 'library']",choir,0
91,meronyms - member,car,train,fish,['school'],swim,0
92,meronyms - member,tree,grove,division,"['company', 'business', 'platoon', 'battle group']",partition,0
93,meronyms - member,elephant,herd,christian,"['congregation', 'church', 'parish']",worship,0
94,meronyms - member,singer,duo,citizen,"['citizenry', 'country', 'state']",country,1
95,meronyms - member,christian,parish,song,"['album', 'collection', 'antology', 'library']",sing,0
96,meronyms - member,tree,wood,fish,['school'],water,0
97,meronyms - member,song,collection,player,"['team', 'group', 'orchestra']",team,1
98,meronyms - member,page,book,fish,['school'],Swim,0
99,meronyms - member,employee,company,tree,"['forest', 'wood', 'grove']",forest,1
100,synonyms - intensity,well,prospering,necessary,"['essential', 'indispensable', 'vital', 'required']",essential,1
101,synonyms - intensity,bad,dreadful,faith,"['fanatism', 'fanaticism', 'zealotry']",belief,0
102,synonyms - intensity,indulge,pamper,sea,['ocean'],ocean,1
103,synonyms - intensity,monkey,gorilla,necessary,"['essential', 'indispensable', 'vital', 'required']",essential,1
104,synonyms - intensity,faith,fanatism,like,"['love', 'care', 'fond', 'crush', 'infatuate']",love,1
105,synonyms - intensity,well,flourishing,nap,"['sleep', 'slumber']",Refreshing,0
106,synonyms - intensity,poorly,stricken,snack,"['meal', 'eat']",Munch,0
107,synonyms - intensity,guilty,unworthy,poorly,"['afflicted', 'sick', 'ill', 'stricken']",inadequate,0
108,synonyms - intensity,sniffles,pneumonia,cat,"['lion', 'tiger', 'leopard', 'panther', 'jaguar']",a dog,0
109,synonyms - intensity,nap,sleep,excited,"['agitated', 'nervous']",eager,0
110,synonyms - intensity,sniffles,pneumonia,monkey,['gorilla'],Apes,0
111,synonyms - intensity,sea,ocean,boring,"['tedious', 'deadening', 'dull', 'ho hum', 'irksome', 'tiresome', 'wearisome']",monotony,0
112,synonyms - intensity,opposed,loath,love,"['adore', 'fetishize', 'idolize', 'idolise', 'worship', 'hero worship', 'revere']",adore,1
113,synonyms - intensity,happy,ecstatic,sea,['ocean'],ocean,1
114,synonyms - intensity,necessary,required,ask,"['beg', 'implore', 'pray', 'entreat', 'supplicate', 'insist']",answer,0
115,synonyms - intensity,necessary,indispensable,unhappy,"['miserable', 'suffering', 'wretched']",miserable,1
116,synonyms - intensity,lake,ocean,indulge,"['pamper', 'spoil', 'coddle']",indulgence,0
117,synonyms - intensity,cat,tiger,lake,"['sea', 'ocean']",Ocean,1
118,synonyms - intensity,soon,immediately,dinner,"['feast', 'banquet', 'fiesta']",eat,0
119,synonyms - intensity,unhappy,wretched,house,"['palace', 'castle']",a hovel,0
120,synonyms - exact,new,modern,father,"['dad', 'daddy']",son,0
121,synonyms - exact,snake,serpent,phone,"['telephone', 'cell', 'cellphone', 'smartphone']",telephone,1
122,synonyms - exact,package,pack,obsolete,"['outdated', 'out of date', 'superannuated']",outdated,1
123,synonyms - exact,package,pack,help,"['aid', 'assist']",assist,1
124,synonyms - exact,flower,blossom,vocabulary,"['lexicon', 'wordbook', 'dictionary', 'glossary']",expand,0
125,synonyms - exact,bicycle,cycle,sofa,"['couch', 'lounge']",sit,0
126,synonyms - exact,obsolete,out of date,mother,"['mom', 'mommy', 'mum']",parent,0
127,synonyms - exact,organized,configured,baby,"['infant', 'babe']",nurtured,0
128,synonyms - exact,loyal,reliable,monument,['memorial'],permanent,0
129,synonyms - exact,flower,blossom,phone,"['telephone', 'cell', 'cellphone', 'smartphone']",ring,0
130,synonyms - exact,organized,incorporated,jewel,"['gem', 'stone']",encrust,0
131,synonyms - exact,murder,execution,help,"['aid', 'assist']",assistance,0
132,synonyms - exact,sofa,lounge,incorrect,"['wrong', 'counterfactual', 'erroneous', 'inaccurate', 'specious', 'unsound', 'untrue', 'false']",incorrect,0
133,synonyms - exact,airplane,aeroplane,rock,['stone'],stone,1
134,synonyms - exact,reasonable,sensible,jewel,"['gem', 'stone']",precious,0
135,synonyms - exact,identical,indistinguishable,list,"['listing', 'enumeration']",a collection,0
136,synonyms - exact,confused,bewildered,sweets,"['confectionery', 'dessert', 'confection']",Candy,0
137,synonyms - exact,shore,coast,vocabulary,"['lexicon', 'wordbook', 'dictionary', 'glossary']",words,0
138,synonyms - exact,loyal,reliable,mesh,"['gauze', 'netting', 'veiling', 'hairnet', 'reseau', 'net', 'save all', 'snood', 'sparker', 'tulle', 'wirework', 'grillwork']",net,1
139,synonyms - exact,portion,component part,incorrect,"['wrong', 'counterfactual', 'erroneous', 'inaccurate', 'specious', 'unsound', 'untrue', 'false']",error,0
140,antonyms - gradable,pale,bronzed,willing,"['unwilling', 'defiantnoncompliant', 'involuntary', 'nonvoluntary', 'unvoluntary', 'disinclined', 'averse', 'backward', 'hesitant', 'indisposed', 'loath', 'reluctant', 'uneager', 'unwishful']",unwilling,1
141,antonyms - gradable,hot,frosty,close,"['distant', 'remote', 'removed', 'far', 'faraway']",open,0
142,antonyms - gradable,concerned,blithe,decisive,"['hesitating', 'indecisive', 'hesitant', 'inconclusive', 'irresolute']",resolute,0
143,antonyms - gradable,fat,spindle shanked,gaseous,"['solid', 'hard', 'coagulated', 'solidified', 'concrete', 'congealed', 'jelled', 'jellied', 'dry', 'semisolid', 'solid state']",solid,1
144,antonyms - gradable,hard,cushiony,white,"['black', 'dark', 'lightless']",black,1
145,antonyms - gradable,noisy,unarticulate,introvert,"['extravert', 'extrovert', 'outgoing', 'extroverted', 'forthcoming', 'sociable']",Extrovert,1
146,antonyms - gradable,full,empty,happy,"['sad', 'bittersweet', 'doleful', 'mournful', 'heavyhearted', 'melancholy', 'melancholic', 'pensive', 'wistful', 'tragic', 'tragical', 'tragicomic', 'tragicomical', 'deplorable', 'distressing', 'lamentable', 'pitiful', 'sorry']",sad,1
147,antonyms - gradable,normal,brachydactylic,lumpy,"['flat', 'level', 'plane', 'even']",smooth,0
148,antonyms - gradable,pale,brunet,cooked,"['raw', 'half baked', 'fresh', 'natural', 'underdone', 'rare', 'uncooked', 'untoasted']",raw,1
149,antonyms - gradable,big,wee,colorful,"['colorless', 'colourless', 'dull', 'neutral', 'pale', 'white', 'bleached', 'faded', 'washed out', 'washy', 'drab', 'somber', 'sombre', 'dulled', 'greyed', 'etiolate', 'etiolated', 'lurid', 'waxen', 'waxlike', 'waxy', 'whitened']",dull,1
150,antonyms - gradable,warm,frosty,wide,"['narrow', 'constricting', 'constrictive', 'narrowing', 'narrowed', 'narrow mouthed', 'slender', 'thin', 'strait', 'straplike', 'tapered', 'tapering', 'limited']",narrow,1
151,antonyms - gradable,hot,frigid,common,"['rare', 'infrequent', 'scarce', 'uncommon', 'extraordinary']",uncommon,1
152,antonyms - gradable,short,rangy,bright,"['pale', 'colorless', 'colourless', 'dull', 'neutral', 'pale', 'white', 'bleached', 'faded', 'washed out', 'washy', 'drab', 'somber', 'sombre', 'dulled', 'greyed', 'etiolate', 'etiolated', 'lurid', 'waxen', 'waxlike', 'waxy', 'whitened']",dull,1
153,antonyms - gradable,aware,oblivious,able,"['unable', 'incapable', 'incompetent', 'unequal']",Inept,0
154,antonyms - gradable,competent,unskilled,fat,"['thin', 'lean', 'anorexic', 'anorectic', 'bony', 'cadaverous', 'emaciated', 'gaunt', 'haggard', 'pinched', 'skeletal', 'wasted', 'deep eyed', 'hollow eyed', 'sunken eyed', 'gangling', 'gangly', 'lanky', 'lank', 'spindly', 'rawboned', 'reedy', 'reedlike', 'twiggy', 'twiglike', 'scarecrowish', 'scraggy', 'boney', 'scrawny', 'skinny', 'underweight', 'weedy', 'shriveled', 'shrivelled', 'shrunken', 'withered', 'wizen', 'wizened', 'slender', 'slight', 'slim', 'svelte', 'slender waisted', 'slim waisted', 'wasp waisted', 'spare', 'trim', 'spindle legged', 'spindle shanked', 'stringy', 'wiry', 'wisplike', 'wispy']",thin,1
